,sentense,class
186,هفته بعد هوا بوشهر بارانی است,1
187,پیش بینی هواشناسی برای هفته بعد چه بود,1
188,آیا دریا برای چهل و هشت ساعت آینده مواج خواهد بود,1
189,امشب هوای اردبیل تا چند درجه سرد میشود,1
190,میانگین دمای امروز تهران چند درجه است,1
191,امروز هوا چطوره,1
192,آیا هوای امروز بارانی است,1
193,امشب هوا چقدر سرد می شود,1
194,دیروز هوا سرد بود,1
195,آلودگی هوا امروز در چه وضعیتی است,1
196,فردا آفتابی می شود,1
197,هوا چند درجه است,1
198,آیا هوا آلوده است,1
199,کی هوا‌بارانی است,1
200,فردا هوا سرد است,1
201,هوای سرد برای کاشت چه نوع درختی متناسب است,1
202,اب و هوای این منطقه چگونه است,1
203,هوای تهران در هفته پیش رو چگونه است,1
204,چرا برف نمیاد,1
205,چرا طوفان شده,1
206,هوای اطراف بندر چطوره,1
207,اونجا هوا سرده یا نه,1
208,هواش خیلی شرجی نیست به نظرت,1
209,آیا امروز نیاز به چتر دارم,1
210,‌ آیا لازم است کت بپوشم,1
211,آیا امروز هوا بارانی است,1
212,آیا امروز باران می بارد,1
213,آخرین باری که هوا بارانی بود، کِی بود,1
214,امروز هوا به طرز عجیبی گرم است  آیا هفته بعد هوا آفتابی میشود,1
215,هوا در نیم کره جنوبی کره زمین الان چگونه است,1
216,نظرت درباره آب و هوای جزایر قناری چیست,1
217,آیا هوا طوفانی میشه,1
218,دیروز برف بارید,1
219,الان هوا در زنجان ابری است,1
220,تا کی قرار است باران ببارد,1
221,فردا هوا چطور خواهد بود,1
222,آیا آب و هوای زنجان سرد و خشک است,1
223,این جا هوا خیلی خوب است,1
224,از کجا بدونم هوا چند درجه ست,1
225,من که صبح تا شب تو خونه خودمو حبس کردم (در واقع حبس شدم) چرا باید آب و هوای تخمی تهران یا هر جهنم دیگه ای به جاییم باشه,1
226,امروز هوا بارونی بود,1
227,نسبت به پارسال اینموقع هوای تهران سردتر شده,1
228,دمای کدوم شهر از همه تو ایران کمتره,1
229,کدام کشور سردترین آب و هوا را دارد,1
230,متنوع ترین منطقه ایران از نظر آب و هوایی کجاست,1
231,گرم ترین روز تهران در سال گذشته چه روزی بود,1
232,میانگین درجه هوای هند چقدر است,1
233,دمای هوای تهران در طی 10 سال اخیر چند درجه افزایش یافته است,1
234,هوای یک هفته پیش تورنتو چند درجه بود,1
235,هوا چقدر سرده، نه,1
236,هوا خیلی تاریکه. فردا آفتابیه,1
237,هوای مشهد چطوره,1
238,هفتهٔ آینده برف میاد,1
239,نظرت راجع به هوای امروز چیه,1
240,هوا دونفره‌س.  تو این هوا بهتر نیست بریم بیرون,1
241,هوا یه کم سرد نشده,1
242,هوای شرجی غیرقابل‌تحمّله.  به نظرت آب‌وهوای مربوط از استوایی بهتر نیست,1
243,سردترین دما در همدان چند درجه بوده است,1
244,کی دوباره بارون می آید,1
245,چرا خونه انقدر سرده,1
246,پارسال این موقع تهران بارون اومد,1
247,آخرین باری که بارون اومد کی بود,1
248,هوا قراره سرد بشه,1
249,هوا فقط ابریه یا بارون میخواد بیاد,1
250,هوا چند درجه س,1
251,بهترین هوا رو الان کجا داره,1
252,امروز هوا چطوره,1
253,هوا چند درجست,1
254,بنظرت از سال پیش سردتر نیست,1
255,امروز بارون میاد,1
256,هفته پیش گرم‌تر نبود,1
257,آب و هوای هفته آینده رفسنجان چطور است,1
258,میزان بارش باران چند میلیمتر گزارش شد,1
259,ایا این سامانه بارشی پایدار خواهد ماند,1
260,ایا امکان بارش برف وجود دارد,1
261,طوفان امروز امریکا چقدر خسارت داشته,1
262,آب و هوای هفته آینده رفسنجان چطور است,1
263,میزان بارش باران چند میلیمتر گزارش شد,1
264,ایا این سامانه بارشی پایدار خواهد ماند,1
265,ایا امکان بارش برف وجود دارد,1
266,طوفان امروز امریکا چقدر خسارت داشته,1
267,هوا چطوره,1
268,چه زمانی اذان مغرب شروع می‌شود,2
269,اذان کیه,2
270,طلوع آفتاب ساعت چنده,2
271,اذان ظهرو گفتن,2
272,ساعت چند افطار میشه,2
273,چقدر مونده تا غروب آفتاب,2
274,قبل از شب میباشد,2
275,اذان صبح چه ساعتی‌ست,2
276,اختلاف زمانی اذان ظهر شهر تهران و مشهد چقدر است,2
277,اذان صبح چه ساعتی‌ست,2
278,اختلاف زمانی اذان ظهر شهر تهران و مشهد چقدر است,2
279,اذان صبح خیلی زود است,2
280,چه ساعتی غروب آفتاب به افق تهران است,2
281,چه ساعتی نیمه‌شب شرعی به افق تهران است,2
282,منبع معتبر اعلام اوقات شرعی چیست,2
283,چه زمانی برای خواندن نماز صبح مناسب است,2
284,آیا اذان ظهر ساعت 12 است,2
285,صبح کی قضا میشه,2
286,نماز شب را باید چه زمانی بخوانیم,2
287,اذان صبح به افق تهران چه زمانی‌ست,2
288,چه فرقی دارد اذان کی باشد,2
289,آفتاب کی طلوع میکنه,2
290,از چه سایتی میشه اوقات شرعیو پیدا کرد,2
291,اذان صبح را کی خواندند,2
292,بعد از اذان ظهر در نمازخانه نمازگزاری کنم، یا در مسجد,2
293,اذان صبح را کی خواندند,2
294,بعد از اذان ظهر در نمازخانه نمازگزاری کنم، یا در مسجد,2
295,تفاوت زمانی بین غروب آفتاب و اذان مغرب چقدر است,2
296,اذانه,2
297,تا کی میشه نماز خوند,2
298,"نمازم قضا شد.
کی ساعت بذارم برای نماز",2
299,ساعت گذاشتی برای سحر,2
300,افطار کیه,2
301,ماه رمضون امسالم که تو تابستونه.,2
302,آیا نمازم قضا شده است,2
303,تا چه ساعتی فرصت دارم نماز بخوانم,2
304,چند ساعت دیگر می‌توانم افطار کنم,2
305,اذان صبح ساعت چند است,2
306,اذان صبح کیه,2
307,فاصله اذان صبح تا طلوع خورشید چقدره,2
308,طلوع خورشید فردا کرمان چه زمانی است,2
309,فردا اذان صبح چه ساعتیه,2
310,نیمه شب شرعی چه ساعتیه,2
311,"من دیروز برای نماز صبح خواب موندم 
اذان ظهر اصفهان و تهران چقدر اخلاف داره",2
312,"نماز قضا نشه
اذان صبح کی هست",2
313,اذان صبح در مشهد چه زمانی است,2
314,روزه در چه صورتی باطل میشود,2
315,اصول وضوع چگونه است,2
316,نماز شکسته در چه صورت است,2
317,آفتاب کی طلوع میکنه,2
318,چرا اوقات شرعی مناطق مختلف تا این حد متفاوت است,2
319,زمان های دقیق اوقات شرعی به چه صورت تعیین می‌شوند,2
320,چرا در ماه رمضان سرعت حرکت اذان صبح خیلی زیاد است,2
321,اذان صبح تهران دیروز چه زمانی بود,2
322,اذان ظهر شیراز فردا چه زمانی است,2
323,اذان مغرب ساعت چنده,2
324,اذان ظهر چقد هوا گرمه,2
325,ترجیح میدی اذان مغرب دیرتر باشه یا زودتر,2
326,قبل از اذان مغرب می‌رسی خونه,2
327,اذان شهرتون چند دیقه با اینجا فاصله داره,2
328,اذان مغرب ساعت چنده,2
329,اذان ظهر چقد هوا گرمه,2
330,ترجیح میدی اذان مغرب دیرتر باشه یا زودتر,2
331,قبل از اذان مغرب می‌رسی خونه,2
332,اذان شهرتون چند دیقه با اینجا فاصله داره,2
333,تفاوت اوقات شرعی نیمه شب تهران و تبریز چقدر است,2
334,اذان صبح به وقت تهران چه ساعتی هستش,2
335,اذان مغرب اعلام شده,2
336,اذان صبح اینجا زودتر از تهران هستش,2
337,اذان ظهر رو کی میگن,2
338,اذان صبح فردا در کرمان چه ساعتی است,2
339,شهر هم افق با تهران کجاست,2
340,نیمه شب شرعی پاییز و زمستان با هم متفاوت است,2
341,چرا اذان مغرب تهران با اصفهان فرق داره,2
342,نیمه شب شرعی چگونه محاسبه می شود,2
343,نماز صبح در تهران چه ساعتی قضا می شود,2
344,اذان ظهر به افق شوشتر چه ساعتی است,2
345,در اهواز اذان مغرب زودتر است یا شوشتر,2
346,اذان صبح به افق قزوین در تاریخ ۱۷ آذر چه ساعتی است,2
347,اذان  صبح فردا ساعت چنده,2
348,چقدر تا اذان مغرب مونده,2
349,نیمه شب شرعی فردا شب توکیو چه ساعتی است,2
350,چرا اذان نمیگن,2
351,از اذان ما تا اذان شما چقدر است,2
352,اذان  صبح فردا ساعت چنده,2
353,چقدر تا اذان مغرب مونده,2
354,نیمه شب شرعی فردا شب توکیو چه ساعتی است,2
355,چرا اذان نمیگن,2
356,از اذان ما تا اذان شما چقدر است,2
357,اذان  صبح فردا ساعت چنده,2
358,چقدر تا اذان مغرب مونده,2
359,نیمه شب شرعی فردا شب توکیو چه ساعتی است,2
360,چرا اذان نمیگن,2
361,از اذان ما تا اذان شما چقدر است,2
362,اذان مغرب به افق کاخ سفید ساعت چند است,2
363,نماز ظهر و عصر امروز ساعت چند قضا می‌شود,2
364,نیمه شب شرعی امشب ساعت چند است,2
365,اختلاف ساعت اذان مغرب و صبح چند ساعت است,2
366,اذان ظهر چه ساعتی است,2
367,نماز صبح چه ساعتی قضا می‌شود,2
368,اذان مغرب به افق اهواز چند است,2
369,اذان صبح ساری فردا چه ساعتی است,2
370,غروب آفتاب تهران امروز چه زمانی است,2
371,طلوع خورشید فردا در مسکو در چه ساعتی است,2
372,اذان مغرب فردا به افق لندن چه زمانی است,2
373,اختلاف زمانی بین اذان صبح تبریز با اذان صبح مشهد چقدر است,2
374,اذان صبح رشت چه زمانی است,2
375,در کدام شهر زودتر اذان زده می شود,2
376,اذان صبح یک قرن آینده در مشهد چه زمانی خواهد بود,2
377,اذان صبح تا اذان مغرب چقدر فاصله دارد,2
378,اذان صبح در لس آنجلس چه زمانی است,2
379,در کدام شهر زودتر اذان زده می شود,2
380,اذان صبح یک قرن آینده در مشهد چه زمانی خواهد بود,2
381,اذان صبح تا اذان مغرب چقدر فاصله دارد,2
382,اذان صبح در لس آنجلس چه زمانی است,2
383,اذونو گفتن,2
384,چقد به اذون مونده,2
385,نیمه شب شرعی مشهد چه ساعتی است,2
386,اذان صبح در مشهد امروز چه ساعتی است,2
387,فاصله اذان ظهر مشهد با نیشابور چقدر است,2
388,اذان مغرب به افق اصفهان چه وقتیه,2
389,اوقات شرعی در جنوبگان چطوره,2
390,اذان مغرب به افق اصفهان چه وقتیه,2
391,اوقات شرعی در جنوبگان چطوره,2
392,اذان صبح ساعت چند هست,2
393,کی باید نماز بخونم,2
394,چه ساعتی افطار می‌کنیم,2
395,چرا اذان مغرب راتابستانها دیر و زمستانها زود میگویند,2
396,نیمه شب شرعی دقیقا به چه معناست,2
397,ایا اذان صبح تهران و سمنان هر دو در یک زمان گفته میشود,2
398,نیمه شب شرعی چیه,2
399,اذان ظهر با اذان عصر چه فرقی داره,2
400,اذان صبح به افق یزد چه ساعتی است,2
401,اذان صبح در سانتا کلارا کی هستش,2
402,چند دقیقه تا اذان ظهر باقی مونده,2
403,نیمه شب شرعی تهران چه ساعتیه,2
404,فوتبال پرسپولیس  استقلال چند ساعت بعد اذان مغرب برگزار میشه,2
405,ا‌‌ذون زده,2
406,کی افطار بخوریم,2
407,کی سحری بخوریم,2
408,"تو این ساعت شهر خیلی شلوغه
ساعت 6 منتظرتم.",2
409,اذان صبح بورلی هیلز چه ساعتی است,2
410,اذان ظهر پراگ با اینجا چه‌قدر تفاوت دارد,2
411,آیا تا اذان مغرب کاشان کمتر از یک ساعت مانده,2
412,آیا از نیمه‌شب شرعی پیونگ‌یانگ گذشته است,2
413,فاصله اذان ظهر گوتنبرگ و استکهلم چقدر است,2
414,اذان مغرب تهران چه ساعتیه,2
415,نیمه‌شب تهران چه زمانی‌ست,2
416,اذان ظهر تهران چه زمانی است,2
417,آیا از نیمه شب شرعی مشهد گذشته است,2
418,اذان صبح شیراز و اصفهان چقدر تفاوت دارد,2
419,اذان مغرب اهواز را گفته‌اند,2
420,فاصله اذان ظهر اینجا و رشت چقدر است,2
421,طلوع آفتاب چه ساعتی است,2
422,الان باید چه نمازی بخوانم,2
423,یک ساعت دیگر کدام نماز قضا میشود,2
424,فاصله بین نماز صبح و طلوع آفتاب چه قدر است,2
425,آفتاب در کدام شهر ایران زودتر غروب میکند,2
426,نیمه شب شرعی امروز چه ساعتی است,2
427,"اذان مغرب تهران
اذان صبح به وقت اصفهان
زمان افطار به وقت تهران
زمان سحر به وقت اهواز",2
428,تا اذان ظهر چقدر مانده‌است,2
429,زمان روزه تابستان فنلاند چقدره,2
430,نیمه شب شرعی کی,2
431,امروز اذان ظهر به افق تهران چه ساعتی است,2
432,پس کی اذان میگن,2
433,میتونی منو برای اذان صبح بیدار کنی,2
434,طول روز امروز چقدر است,2
435,اذان رو گفتند,2
436,برنامه را وسط اذان قطع می کنند,2
437,اذان صبح ساعت چند شده,2
438,اذان مغرب ساعت چند است,2
439,اذان ظهر ساعت چند است,2
440,اذان صبح در مشهد چه زمانی است,2
441,روزه در چه صورتی باطل میشود,2
442,اصول وضوع چگونه است,2
443,نماز شکسته در چه صورت است,2
444,کی وقت نماز میشه,2
445,اذان رو کی میگن,2
446,اینجا اذان ساعت چنده,2
447,صبح کی پاشیم برا نماز,2
448,کی وقت نماز میشه,2
449,اذان رو کی میگن,2
450,اینجا اذان ساعت چنده,2
451,صبح کی پاشیم برا نماز,2
452,نماز صبح در قطب شمال چه ساعتی است,2
453,آیا الان در بیجینگ وقت نماز عصر شده است,2
454,فاصله اذان ظهر و مغرب تگزاس چقدر است,2
455,چند دقیقه تا نیمه شب شرعی در سن لوپز مانده است,2
456,در قطب مردم کی نماز میخونن,2
457,آیا در تهران اذان مغرب شده است,2
458,در مشهد چقدر تا نیمه شب شرعی باقی مانده است,2
459,اذان ظهر چه ساعتی است,2
460,بین اذان ظهر و اذان مغرب در رشت چند ساعت فاصله است,2
461,بین اذان صبح در تهران و زنجان چقدر فاصله زمانی هست,2
462,نماز نمی خونم که بخوام ساعت دقیق اوقات شرعی رو بدونم، ولی حوالی 12 اذان ظهر، حوالی 5 اذان مغرب، 11 شب هم حدودا قضا میشه.,2
463,مدت زمان روزه گرفتن تو گدوم شهر ایران کمتره,2
464,طلوع افتاب کردستان امروز چه زمانی است,2
465,اذان صبح تهران و وین چقدر تفاوت دارد,2
466,اذان مغرب از ابتدای یک ماه تا انتهای آن حدودا چقدر جا به جا میشود,2
467,بیشترین اختلاف زمانی در اذان صبح در کدام دو نقطه از ایران اتفاق می افتد,2
468,فاصله اذان صبح تا طلوع آفتاب دیروز چقدر بود,2
469,اذان ظهر تهران فردا چه زمانی است,2
470,اذانو کی می‌گن,2
471,اذان صبح اصفهان چقدر جلوتره,2
472,به اذان چقدر مونده,2
473,نیمه‌شب شرعی گذشت,2
474,نمازِ مغرب کی قضا می‌شه,2
475,نمازِ عیدِ فطر کی برپا می‌شه,2
476,عیدِ فطر فرداست یا پس‌فردا,2
477,طلوعِ آفتاب چه ساعتیه,2
478,اذانِ ظهر کیه,2
479,اذان صبح فردا همدان چه زمانی است,2
480,ماه رمضون تهران زودتر اذان میشه یا اصفهان,2
481,زمستون چرا انقدر زود مغرب میشه,2
482,اذان صبح اصفهان چه ساعتیه,2
483,اذان صبح چه ساعتیه,2
484,تا غروب چقدر مونده,2
485,اذان ظهر شده,2
486,ساعت چند اذان صبح میگن,2
487,فاصله اذان تهران با اینجا چقدره,2
488,نیمه‌شب شرعی کی هست,2
489,اذان ظهر کی میگن,2
490,اذان اونا نیم ساعت از ما جلوتره,2
491,اذان صبح تهران امروز چه زمانی است,2
492,نیمه شب شرعی کرمان در چه زمانی است,2
493,اذان صبح تهران امروز چه زمانی است,2
494,نیمه شب شرعی کرمان در چه زمانی است,2
495,کی اذان میگه,2
496,ساعت چنده,3
497,الان تو مونیخ ساعت چنده,3
498,اختلاف زمانیمون با استانبول چقدره,3
499,ساعت چنده,3
500,چقدر مونده تا ۲,3
501,الان کانادا شبه یا روز,3
502,الان ۲۳ و ۲۳ دقیقه است.,3
503,اختلاف زمانی ساعت ایران و ترکیه چقدر است,3
504,امروز چندم است,3
505,زمان سال تحویل سال ۱۴۰۰ چه ساعتی است,3
506,چند ساعت تا غروب مانده,3
507,تهران چند ساعت با کابل اختلاف زمانی دارد,3
508,برای پرکردن فرم، چقدر زمان لازم است,3
509,الان ساعت در تهران چند است,3
510,در دنیای تو ساعت چند است,3
511,ساعت چند بیرون میروی,3
512,فوتبال چه ساعتی برگزار می‌شود,3
513,چند ساعت دیگر به کرمان میرسیم,3
514,آیا قرار امروز ساعت 4 است,3
515,عقربه ساعت شمار روی کدام عدد قرار دارد,3
516,کی ویروس کرونا تمام میشود,3
517,چند ساعت دیگر به کرمان میرسیم,3
518,آیا قرار امروز ساعت 4 است,3
519,عقربه ساعت شمار روی کدام عدد قرار دارد,3
520,کی ویروس کرونا تمام میشود,3
521,کی می‌آیی,3
522,چه زمانی برای رفتن بهتر است,3
523,فاصله‌ی زمانی تهران و مسکو چقدر است,3
524,ساعت برلین چقدر از ساعت تهران عقب‌تر است,3
525,اونجا الان ساعت چنده,3
526,در مورد رمان برندشون سندرسون به نام چرخ زمان شنیدی,3
527,الان ساعت چنده,3
528,الان دیروقت نیست تو استکهلم,3
529,تو برلین چه ساعتی معادل زمان تهران ساعت کاریشون شروع میشه,3
530,الان ساعت چنده,3
531,الان دیروقت نیست تو استکهلم,3
532,تو برلین چه ساعتی معادل زمان تهران ساعت کاریشون شروع میشه,3
533,چند ساعت از گل آخر منچستر سیتی در لیگ قهرمانان قبل گذشته است,3
534,ساعت چنده,3
535,می‌تونم به عموم تو کالیفرنیا زنگ بزنم,3
536,ساعت رند نشد درس بخونم,3
537,ساعت چند مترو باشم,3
538,الان کانادا ساعت چند است,3
539,امروز چه ساعتی می‌توانم تو را ببینم,3
540,دیشب چند ساعت خوابیدی,3
541,چند ساعت برای انجام این پروژه نیاز دارم,3
542,امروز زمان برای تو هم زود گذشت,3
543,سفر در زمان ممکنه,3
544,زمان بعد چندمه,3
545,به ساعت درون اعتقاد داری,3
546,فوتبال ساعت چند است,3
547,ساعت ایران و اتریش چقدر با هم تفاوت داره,3
548,الان ساعت چنده,3
549,چه ساعتی کلاس داری و باید از خواب بیدار بشی,3
550,فوتبال بارسلونا ساعت چنده امشب,3
551,اختلاف زمانی تهران و اصفهان چند دقیقس,3
552,ساعت چند است,3
553,الان ونکوور ساعت چند است,3
554,اختلاف ساعت در شهر های امریکا چقدر است,3
555,ساعت الان در چین چند است,3
556,اختلاف ایران و کانادا چند ساعت است,3
557,اونجا الان ساعت چنده,3
558,چه مدت زمان تا ساعت ۱۷ باقی مانده است,3
559,ساعت یزد الان چند است,3
560,ساعت ۶ قدیم است یا جدید,3
