,questions,class0
99,سالروز زمین لرزه ی بم در سال ۹۹ کدام روز است؟,3
100,امسال جشن سده در کدام روز است؟,3
101,سال شمسی امسال چند روز است؟,3
102,تاریخ شمسی امروز؟,3
103,تاریخ میلادی امروز؟,3
104,تعداد روزهای اسفند ۱۴۰۰؟,3
105,روز جهانی بهداشت در سال ۹۹ کدام روز از سال است؟,3
106,سالگرد درگذشت پروین اعتصامی در سال ۱۳۹۶ کدام روز است؟,3
107,روز دندانپزشک در سال ۱۳۹۶؟,3
108,روز جمهوری اسلامی در سال ۱۴۰۰؟,3
109,کدام روز از سال ۱۴۰۰ روز قلم است؟,3
110,سالگرد اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران در کدام روز ۱۴۰۰ اتفاق افتاده است؟,3
111,تاریخ روز صنعت و معدن امسال چه روزی است؟,3
112,در این سال روز عرفه چه روزی بود؟,3
113,تاریخ برگزاری اولین کنکور در ایران؟,3
114,روز خبرنگار کدام روز از امسال است؟,3
115,عید سعید غدیر خم کدام روز امسال است؟,3
116,تاریخ ولادت امام موسی کاظم علیه السلام در سال ۹۹؟,3
117,تاریخ روز جهانی چپ دست ها در سال ۹۹؟,3
118,روز بزرگداشت ابوعلی سینا و روز پزشک در کدام روز سال ۹۹ است؟,3
119,روز سینما در سال ۱۳۹۹؟,3
120,ساعت در پایتخت ایران چند است؟,3
121,در پایتخت روسیه چه زمانی از روز است؟,3
122,ساعت به وقت پایتخت آذربایجان چند است؟,3
123,الان به وقت پایتخت ازبکستان چه زمانی از روز است؟,3
124,الان در پایتخت انگلستان چه ساعتی در شبانه روز است؟,3
125,دمای هوای ۳ روز بعد پایتخت ایران ساعت ۲۱:۵۰ چقدر است؟,0
126,دمای هوای سه روز بعد پایتخت روسیه ساعت ۱۹:۱۰ چقدر است؟,0
127,دمای هوای چهار روز بعد پایتخت انگلستان چقدر است؟,0
128,دمای هوای پایتخت ازبکستان ساعت ۹ و ۱۰ دقیقه چند درجه است؟,0
129,دمای هوای دو روز بعد پایتخت آذربایجان چند درجه سانتیگراد است؟,0
130,میانگین دمای هوای تهران امروز چقدر است؟,0
131,میانگین دمای هوای مشهد فردا چقدر است؟,0
132,حداقل دمای هوای فردای شیراز چقدر است؟,0
133,حداکثر دمای هوای پس فردای قزوین چقدر است؟,0
134,کمترین دمای هوای دو روز بعد زنجان چقدر است؟,0
135,کمینه دمای هوای ۳ روز بعد تهران چقدر است؟,0
136,بیشترین دمای هوای سه روز بعد تبریز چقدر است؟,0
137,اختلاف کمترین و بیشترین دمای هوای چهار روز بعد آبادان چقدر است؟,0
138,اختلاف میانگین و بیشترین دمای هوای تهران چند درجه است؟,0
139,اختلاف حداقل و میانگین دمای هوای دو روز بعد گرگان چند درجه سانتیگراد است؟,0
140,اختلاف میانگین درجه حرارت هوای امروز و فردای یزد چقدر است؟,0
141,گرم‌ترین دمای هوای دو روز بعد همدان چقدر است؟,0
142,میانگین اندازه گرمی یا سردی هوای دو روز بعد کاشان چند درجه است؟,0
143,امروز میانگین دمای هوای مشهد سردتر است یا تهران؟,0
144,امروز حداقل دمای هوای مشهد سردتر است یا تهران؟,0
145,امروز حداکثر دمای هوای مشهد گرم‌تر است یا تهران؟,0
146,دو روز بعد حداکثر دمای هوای مشهد گرم‌تر است یا تهران؟,0
147,سه روز بعد میانگین دمای هوای مشهد گرم‌تر است یا تهران؟,0
148,چهار روز بعد حداقل دمای هوای مشهد گرم‌تر است یا تهران؟,0
149,حداکثر دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,0
150,میانگین دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,0
151,حداقل دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,0
152,حداکثر دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,0
153,میانگین دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,0
154,حداقل دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,0
155,حداکثر دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,0
156,میانگین دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,0
157,حداقل دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,0
158,بیشینه دمای هوای فردای مشهد گرم‌تر است یا پس فردای تبریز؟,0
159,کمینه دمای هوای فردای مشهد گرم‌تر است یا پس فردای تبریز؟,0
160,دمای هوا در زمان اذان صبح امروز تهران چقدر است؟,0
161,دمای هوا در زمان اذان ظهر امروز تهران چقدر است؟,0
162,دمای هوا در زمان اذان مغرب امروز تهران چقدر است؟,0
163,دمای هوا در زمان اذان مغرب امروز قم چقدر است؟,0
164,دمای هوا در زمان اذان ظهر امروز قم چقدر است؟,0
165,دمای هوا در زمان اذان صبح امروز قم چقدر است؟,0
166,دمای هوای در زمان نیمه شب شرعی امروز قم چقدر است؟,0
167,دمای هوای در زمان نیمه شب شرعی امروز تهران چقدر است؟,0
168,دمای هوای در زمان نیمه شب شرعی فردای تهران چقدر است؟,0
169,دمای هوای در زمان نیمه شب شرعی فردای قم چقدر است؟,0
170,دمای هوای در زمان اذان ظهر فردای قم چقدر است؟,0
171,دمای هوای در زمان اذان صبح فردای قم چقدر است؟,0
172,دمای هوای در زمان اذان مغرب فردای قم چقدر است؟,0
173,دمای هوای در زمان اذان صبح فردای تهران چقدر است؟,0
174,دمای هوای در زمان اذان ظهر فردای تهران چقدر است؟,0
175,دمای هوای در زمان اذان مغرب فردای تهران چقدر است؟,0
176,دمای هوای در زمان نیمه شب شرعی ۳ روز بعد مشهد چقدر است؟,0
177,دمای هوای در زمان اذان صبح ۳ روز بعد مشهد چقدر است؟,0
178,دمای هوای در زمان اذان ظهر ۳ روز بعد مشهد چقدر است؟,0
179,دمای هوای در زمان اذان مغرب ۳ روز بعد مشهد چقدر است؟,0
180,اذان صبح تهران سردتر است یا اذان ظهر آن؟,0
181,اذان صبح امروز تهران سردتر است یا فردا؟,0
182,اذان صبح امروز تهران سردتر است یا پس فردا؟,0
183,اذان صبح امروز تهران سردتر است یا اذان ظهر پس فردا؟,0
184,اذان صبح امروز تهران سردتر است یا اذان ظهر ۳ روز بعد؟,0
185,اذان صبح فردای تهران سردتر است یا اذان ظهر امروز آن؟,0
186,اذان صبح فردای تهران سردتر است یا نیمه شب شرعی ۳ روز بعد؟,0
187,اذان ظهر پس فردای تهران سردتر است یا نیمه شب شرعی ۳ روز بعد آن؟,0
188,اذان ظهر تهران دو روز بعد سردتر است یا نیمه شب شرعی ۳ روز بعد؟,0
189,اذان ظهر ۲ روز دیگر تهران سردتر است یا نیمه شب شرعی ۳ روز بعد؟,0
190,امروز ساعت ۱۴:۲۵ هوای تهران سردتر است یا فردا ساعت ۲:۴۵؟,0
191,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت ۱۲:۴۵؟,0
192,امروز ساعت شش عصر هوای تهران سردتر است یا فردا ساعت ۱۲:۴۵؟,0
193,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت هفت صبح؟,0
194,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت سه و نیم بامداد؟,0
195,فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا پس فردا ساعت سه و نیم بامداد؟,0
196,فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,0
197,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,0
198,پس فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت ۳ و نیم بامداد؟,0
199,سه روز بعد ساعت دو و ربع بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,0
200,آیا فردا هوا ابری است,0
201,هوا فردا آلودست,0
202,شاخص آلودگی چنده,0
203,یعنی فردا بارون میباره,0
204,پس کی برف میباره,0
205,هواشناسی در مورد آب و هوا چی گفته,0
206,آلودگی هوای تهران به چه علت است,0
207,هوای نسبی ایران نسبت به روز گذشته چه تغییری کرده است,0
208,دمای هوا چقدر است,0
209,آیا هفته‌ی آینده باران می‌بارد,0
210,تغییرات آب و هوا نسبت به هفته‌ی گذشته چگونه است,0
211,آیا فردا هوا ابریست,0
212,آیا فردا باران میبارد,0
213,امروز هوا سرد‌تر است,0
214,هواشناسی در مورد هوای فردا چه میگوید,0
215,آیا هوا آفتابی است,0
216,آیا فردا هوای کرمان سرد میشود,0
217,آیا آب و هوای کشور نروژ مثل ایران است,0
218,کره‌ی زمین روز به روز گرم‌تر می‌شود,0
219,آیا هوا برای پیاده روی مناسب است,0
220,سرد‌ترین روز سال چه روزی است,0
221,هوای برلین فردا بارونی است,0
222,هوا امروز سرد بود,0
223,هوا سرد شده و ملت تازگیا دارن قربون صدقه برف میرن,0
224,فردا هم هوا مثل امروز بارونیه,0
225,پارسال انقدر هوا سرد نبود بود,0
226,مثل اینکه امسال هوای تهران قراره از همه‌ی سال‌های قبلی سردتر باشه بارش برف سال هشتاد و پنج سنگینتر بود یا بارشهای برف امسال قراره سنگینتر باشه,0
227,طولانیترین بارش بارانی که تا حالا بوده چند روز بوده,0
228,بیشترین ارتفاعی که تا بحال برف آمده چقدر بوده است,0
229,هوا فردا چطور است,0
230,هوای آمستردام معمولا چگونه ست,0
231,آیا در پنج روز آتی در تهران برف خواهد آمد,0
232,چتر لازم دارم,0
233,بارون میاد,0
234,رگبار می‌زنه,0
235,آیا سه شنبه باران می‌بارد,0
236,آیا هوای بارانی را دوست داری,0
237,توی این هوا بهتره چه لباسی بپوشیم,0
238,هوا چطوره,0
239,هوای گرم بهتره یا سرد,0
240,تو هوای گرم لباس روشن میپوشن,0
241,هوای ایران گرم و خشکه یا سرد و مرطوب,0
242,هوای بارونی طرفدار بیشتری داره یا هوای آفتابی,0
243,آب و هوا ی کرمان بطور کلی چگونه است,0
244,میانگین بارندگی سالانه در تهران چقدر است,0
245,فردا هوا برفی خواهد بود,0
246,هوا اگه بارونی بود میای بریم بیرون,0
247,شنیدم هفته بعد هوا قراره گرم بشه درسته,0
248,چه قدر هوا سرد شده,0
249,فردا هوا سرد است,0
250,هوای سرد برای کاشت چه نوع درختی متناسب است,0
251,اب و هوای این منطقه چگونه است,0
252,هوای تهران در هفته پیش رو چگونه است,0
253,هوا امروز سرد بود,0
254,چرا هوای تهران همیشه آلوده است,0
255,آیا هوای تهران پاکیزه خواهد بود روزی,0
256,آیا هوای تهران را میتوان تحمل کرد,0
257,بنظرت بهترین آب و هوا برای کدوم فصله,0
258,آب و هوای مورد علاقت چیه,0
259,تو این آب و هوا لباس گرم نمی‌پوشی,0
260,آب و هوای امسال با پارسال خیلی فرق نداره,0
261,آب و هوای کدوم کشورو می‌پسندی,0
262,آیا امروز باران آمد,0
263,دمای هوا شب‌ها به چند درجه می‌رسد,0
264,میاگین سرعت باد چقدر است,0
265,آفتابیست هوا یا گرفتست هنوز,0
266,آسمان امروز رشت ابری است,0
267,هوای ایران معتدل است,0
268,آیا دیروز هوای نوشهر بارانی بود,0
269,هوای نوشهر بارانی است,0
270,هوا امروز چطوره,0
271,آیا تو هوای آفتابی را بیشتر از بارانی دوست داری,0
272,برای اخر هفته هواشناسی چه پیش بینی ای کرده,0
273,آلودگی هوای تهران رو به بهبود است یا نه,0
274,هواشناسی وضعیت استان‌های کشور رو چگونه اعلام کرد,0
275,چرا هوای تهران آلوده است,0
276,آیا هوای تهران آلوده است,0
277,فردا هوای اهواز چند درجه است,0
278,آیا هوای شوشتر گرم است,0
279,هوای قزوین در هفته‌ی آینده بارانی است,0
280,چرا امسال کمتر بارون اومد,0
281,هوای گرم رو بیشتر دوس داری یا هوای سرد,0
282,هوای شمال چطوریه,0
283,اگر بارون بیاد ترافیک میشه,0
284,آب و هوای دانشکاه آزاد تهران چگونه است,0
285,دمای شهر ایده‌آل شما برای زندگی چند درجه است,0
286,پیش‌بینی هواشناسی برای آب و هوای فردا چگونه است,0
287,آب و هوای آفتابی بهتر از آب و هوای ابری است,0
288,هوای نزدیک ظهر بهتر از دم غروب است,0
289,هوای شهر شما چگونه است,0
290,هوا اطراف شما هم سرد است,0
291,شنبه هفته آینده هوا چند درجه است,0
292,آب و هوا ساری در دو روز آینده چگونه است,0
293,شاخص آلودگی هوا تهران الان چقدر است,0
294,سرعت باد در البرز امروز چقد بود,0
295,رطوبت هوا گیلان در روز گذشته چقد بوده است,0
296,دمای هوا اهواز فردا چقدر پیش بینی میشود,0
297,آیا هوا فردا ابری است,0
298,پارسال همین تاریخ آب و هوای پاریس چگونه بود,0
299,کی باران در تهران باران می‌بارد,0
300,آیا هم اکنون رشت هم بارانی است,0
301,فردا صبح برف خواهد بارید,0
302,چقدر در طول آذرماه در تبریز باران بارید,0
303,بیرون هوا چطور بود,0
304,فردا بارونیه,0
305,دیروز هوای مشهد چگونه بود,0
306,جمعه هفته آینده هوای مشهد چگونه است,0
307,دوروز قبل هوای مشهد چند درجه بود,0
308,الان اب و هوای جزایر مالیدیو چگونه است,0
309,پارسال سرد بود,0
310,امسال نسبت به پارسال سردتره,0
311,آیا فردا هوا ابریست,0
312,آیا فردا باران میبارد,0
313,امروز هوا سرد‌تر است,0
314,هواشناسی در مورد هوای فردا چه میگوید,0
315,کی قراره برف بیاد,0
316,ایا اب و هوا تا اخر سال قراره بارونی باشه,0
317,چرا الودگی هوا تموم نمیشه دلیلش چیه,0
318,چرا انقد هوا الوده شده,0
319,بارون تا چندشنبه ادامه داره,0
320,پیشبینی وضعیت هوای تهران برای آخر هفته دیگر چگونه است,0
321,هوای کالیفرنیا خوبه,0
322,امسال تو ایران چند میلی متر بارون اومد,0
323,الان تهران هوا چند درجه است,0
324,گرم‌ترین شهر امروز جهان کجا بود,0
325,پر باران‌ترین سال سده اخیر در ایران چه سالیه,0
326,وضع کلی هوا چه طوریه,0
327,فردا هوا چطوریه,0
328,هوا چقدر خوبه امروز,0
329,هوای دیروز چقدر سرد بود,0
330,هوا بارونیه,0
331,آیا هوای فردای تهران بارانیست,0
332,هوای هفته‌ی آینده‌ی برلین چگونه خواهد بود,0
333,آیا پاییز امسال برف می‌بارد,0
334,آیا پارسال پاییز برف می‌بارید,0
335,آیا تابستان گرمی در راه است,0
336,فردا هوا سرده,0
337,آیا فردا هوا بارانی است,0
338,دیروز در کدام شهر برف بارید,0
339,هوای ابری را دوست داری یا آفتابی,0
340,با این باران احتمال سیل چقدر است,0
341,فردا هوا آبی بارانی است,0
342,آیا میانگین بارندگی امسال از سال پیش بیشتر است,0
343,سرد‌ترین زمستان تاریخ ایران چه سالی بوده است,0
344,آلودگی هوای امروز چه قدر است,0
345,هوا چطوره,0
346,امروز بارون میاد,0
347,اولین برف پارسال کی بود,0
348,هوای تهران چند درجه است,0
349,وضعیت هوای هفته پیش رو چجوره,0
350,آیا ممکن است ۱۰ سال دیگر همین جا برف بیاید,0
351,بارون میاد,0
352,سرده,0
353,هوای فردا بارانیست,0
354,هوای محل زندگی تو چگونه است,0
355,هوای بارانی را دوست داری,0
356,میانگین درجه هوای امسال تهران در تابستان چند بوده است,0
357,هوای در هفته‌ی آینده رو به سردی پیش میرود,0
358,هفته بعد هوا بوشهر بارانی است,0
359,پیش بینی هواشناسی برای هفته بعد چه بود,0
360,آیا دریا برای چهل و هشت ساعت آینده مواج خواهد بود,0
361,امشب هوای اردبیل تا چند درجه سرد میشود,0
362,میانگین دمای امروز تهران چند درجه است,0
363,امروز هوا چطوره,0
364,آیا هوای امروز بارانی است,0
365,امشب هوا چقدر سرد می‌شود,0
366,دیروز هوا سرد بود,0
367,آلودگی هوا امروز در چه وضعیتی است,0
368,فردا آفتابی می‌شود,0
369,هوا چند درجه است,0
370,آیا هوا آلوده است,0
371,کی هوا‌بارانی است,0
372,فردا هوا سرد است,0
373,هوای سرد برای کاشت چه نوع درختی متناسب است,0
374,اب و هوای این منطقه چگونه است,0
375,هوای تهران در هفته پیش رو چگونه است,0
376,چرا برف نمیاد,0
377,چرا طوفان شده,0
378,هوای اطراف بندر چطوره,0
379,اونجا هوا سرده یا نه,0
380,هواش خیلی شرجی نیست به نظرت,0
381,آیا امروز نیاز به چتر دارم,0
382,آیا لازم است کت بپوشم,0
383,آیا امروز هوا بارانی است,0
384,آیا امروز باران می‌بارد,0
385,آخرین باری که هوا بارانی بود کی بود,0
386,امروز هوا به طرز عجیبی گرم است,0
387,آیا هفته بعد هوا آفتابی میشود,0
388,هوا در نیم کره جنوبی کره زمین الان چگونه است,0
389,نظرت درباره آب و هوای جزایر قناری چیست,0
390,آیا هوا طوفانی میشه,0
391,دیروز برف بارید,0
392,الان هوا در زنجان ابری است,0
393,تا کی قرار است باران ببارد,0
394,فردا هوا چطور خواهد بود,0
395,آیا آب و هوای زنجان سرد و خشک است,0
396,این جا هوا خیلی خوب است,0
397,از کجا بدونم هوا چند درجه ست,0
398,من که صبح تا شب تو خونه خودمو حبس کردم در واقع حبس شدم چرا باید آب و هوای تخمی تهران یا هر جهنم دیگه‌ای به جاییم باشه,0
399,نسبت به پارسال اینموقع هوای تهران سردتر شده,0
400,دمای کدوم شهر از همه تو ایران کمتره,0
401,کدام کشور سردترین آب و هوا را دارد,0
402,متنوع‌ترین منطقه ایران از نظر آب و هوایی کجاست,0
403,گرم‌ترین روز تهران در سال گذشته چه روزی بود,0
404,میانگین درجه هوای هند چقدر است,0
405,دمای هوای تهران در طی ۱۰ سال اخیر چند درجه افزایش یافته است,0
406,هوای یک هفته پیش تورنتو چند درجه بود,0
407,هوا چقدر سرده نه,0
408,هوا خیلی تاریکه فردا آفتابیه,0
409,هوای مشهد چطوره,0
410,هفتهٔ آینده برف میاد,0
411,نظرت راجع به هوای امروز چیه,0
412,هوا دونفره‌س,0
413,هوای شرجی غیرقابل‌تحمله,0
414,به نظرت آب‌وهوای مربوط از استوایی بهتر نیست,0
415,سردترین دما در همدان چند درجه بوده است,0
416,کی دوباره بارون می‌آید,0
417,چرا خونه انقدر سرده,0
418,پارسال این موقع تهران بارون اومد,0
419,آخرین باری که بارون اومد کی بود,0
420,هوا قراره سرد بشه,0
421,هوا فقط ابریه یا بارون میخواد بیاد,0
422,هوا چند درجه س,0
423,بهترین هوا رو الان کجا داره,0
424,امروز هوا چطوره,0
425,هوا چند درجست,0
426,بنظرت از سال پیش سردتر نیست,0
427,امروز بارون میاد,0
428,هفته پیش گرم‌تر نبود,0
429,آب و هوای هفته آینده رفسنجان چطور است,0
430,میزان بارش باران چند میلیمتر گزارش شد,0
431,ایا این سامانه بارشی پایدار خواهد ماند,0
432,ایا امکان بارش برف وجود دارد,0
433,طوفان امروز امریکا چقدر خسارت داشته,0
434,چه زمانی اذان مغرب شروع می‌شود,1
435,اذان کیه,1
436,طلوع آفتاب ساعت چنده,1
437,اذان ظهرو گفتن,1
438,ساعت چند افطار میشه,1
439,چقدر مونده تا غروب آفتاب,1
440,اذان صبح چه ساعتی‌ست,1
441,اختلاف زمانی اذان ظهر شهر تهران و مشهد چقدر است,1
442,اذان صبح خیلی زود است,1
443,چه ساعتی غروب آفتاب به افق تهران است,1
444,چه ساعتی نیمه‌شب شرعی به افق تهران است,1
445,چه زمانی برای خواندن نماز صبح مناسب است,1
446,آیا اذان ظهر ساعت ۱۲ است,1
447,صبح کی قضا میشه,1
448,نماز شب را باید چه زمانی بخوانیم,1
449,اذان صبح به افق تهران چه زمانی‌ست,1
450,چه فرقی دارد اذان کی باشد,1
451,آفتاب کی طلوع میکنه,1
452,اذان صبح را کی خواندند,1
453,بعد از اذان ظهر در نمازخانه نمازگزاری کنم یا در مسجد,1
454,تفاوت زمانی بین غروب آفتاب و اذان مغرب چقدر است,1
455,اذانه,1
456,تا کی میشه نماز خوند,1
457,نمازم قضا شد,1
458,کی ساعت بذارم برای نماز,1
459,افطار کیه,1
460,ماه رمضون امسالم که تو تابستونه,1
461,آیا نمازم قضا شده است,1
462,تا چه ساعتی فرصت دارم نماز بخوانم,1
463,چند ساعت دیگر می‌توانم افطار کنم,1
464,اذان صبح ساعت چند است,1
465,اذان صبح کیه,1
466,فاصله اذان صبح تا طلوع خورشید چقدره,1
467,طلوع خورشید فردا کرمان چه زمانی است,1
468,فردا اذان صبح چه ساعتیه,1
469,نیمه شب شرعی چه ساعتیه,1
470,اذان ظهر اصفهان و تهران چقدر اخلاف داره,1
471,نماز قضا نشه,1
472,اذان صبح کی هست,1
473,اذان صبح در مشهد چه زمانی است,1
474,آفتاب کی طلوع میکنه,1
475,چرا در ماه رمضان سرعت حرکت اذان صبح خیلی زیاد است,1
476,اذان صبح تهران دیروز چه زمانی بود,1
477,اذان ظهر شیراز فردا چه زمانی است,1
478,اذان مغرب ساعت چنده,1
479,اذان ظهر چقد هوا گرمه,1
480,قبل از اذان مغرب می‌رسی خونه,1
481,اذان شهرتون چند دیقه با اینجا فاصله داره,1
