,questions,class0,predicted
83,درجه دمای هوای دو روز بعد سمنان ساعت ۹:۱۱ به چه میزان است؟,1,1
84,گرمی یا سردی هوای دو روز بعد تاشکند ساعت ۱:۲۰ به چه میزان است؟,1,1
85,درجه حرارت هوای دو روز بعد پکن ساعت ۲۰:۱۰ به چه میزان است؟,1,1
86,اندازه دمای هوای دو روز بعد تهران به چه میزان است؟,1,1
87,اندازه گرمی هوای دو روز بعد تهران ساعت ۸ و ۲۰ دقیقه به چه میزان است؟,1,4
88,اندازه گرمی یا سردی هوای دو روز بعد تهران ساعت ۸ و ۲۰ دقیقه‌ی شب به چه میزان است؟,1,1
89,اندازه دمای هوای دو روز بعد تهران ساعت ۱۹:۱۰ به چه میزان است؟,1,1
90,روز حافظ در سال ۹۹ چه روزی است؟,4,4
91,روز حافظ در سال ۱۳۹۶ چه روزی است؟,4,4
92,امسال سالروز شهادت سردار حاج قاسم سلیمانی چه روزی است؟,4,4
93,شهادت حضرت فاطمه زهرا سلام الله علیها چه روزی است؟,4,4
94,مناسبت روز ۱۸ اسفند امسال چیست؟,4,4
95,مناسبت ۱۸ اسفند سال بعد چیست؟,4,4
96,کدام روز از سال ۱۴۰۳ روز اصناف است؟,4,4
97,در سال ۹۷ روز جهانی محیط زیست چه روزی است؟,4,4
98,۲۲ بهمن امسال به میلادی؟,4,-1
99,سالروز زمین لرزه ی بم در سال ۹۹ کدام روز است؟,4,1
100,امسال جشن سده در کدام روز است؟,4,4
101,سال شمسی امسال چند روز است؟,4,4
102,تاریخ شمسی امروز؟,4,4
103,تاریخ میلادی امروز؟,4,4
104,تعداد روزهای اسفند ۱۴۰۰؟,4,4
105,روز جهانی بهداشت در سال ۹۹ کدام روز از سال است؟,4,4
106,سالگرد درگذشت پروین اعتصامی در سال ۱۳۹۶ کدام روز است؟,4,4
107,روز دندانپزشک در سال ۱۳۹۶؟,4,4
108,روز جمهوری اسلامی در سال ۱۴۰۰؟,4,4
109,کدام روز از سال ۱۴۰۰ روز قلم است؟,4,4
110,سالگرد اعلام پذیرش قطعنامه ۵۹۸ شورای امنیت از سوی ایران در کدام روز ۱۴۰۰ اتفاق افتاده است؟,4,4
111,تاریخ روز صنعت و معدن امسال چه روزی است؟,4,4
112,در این سال روز عرفه چه روزی بود؟,4,4
113,تاریخ برگزاری اولین کنکور در ایران؟,4,4
114,روز خبرنگار کدام روز از امسال است؟,4,4
115,عید سعید غدیر خم کدام روز امسال است؟,4,4
116,تاریخ ولادت امام موسی کاظم علیه السلام در سال ۹۹؟,4,4
117,تاریخ روز جهانی چپ دست ها در سال ۹۹؟,4,4
118,روز بزرگداشت ابوعلی سینا و روز پزشک در کدام روز سال ۹۹ است؟,4,4
119,روز سینما در سال ۱۳۹۹؟,4,4
120,ساعت در پایتخت ایران چند است؟,4,3
121,در پایتخت روسیه چه زمانی از روز است؟,4,3
122,ساعت به وقت پایتخت آذربایجان چند است؟,4,3
123,الان به وقت پایتخت ازبکستان چه زمانی از روز است؟,4,3
124,الان در پایتخت انگلستان چه ساعتی در شبانه روز است؟,4,3
125,دمای هوای ۳ روز بعد پایتخت ایران ساعت ۲۱:۵۰ چقدر است؟,1,1
126,دمای هوای سه روز بعد پایتخت روسیه ساعت ۱۹:۱۰ چقدر است؟,1,1
127,دمای هوای چهار روز بعد پایتخت انگلستان چقدر است؟,1,1
128,دمای هوای پایتخت ازبکستان ساعت ۹ و ۱۰ دقیقه چند درجه است؟,1,1
129,دمای هوای دو روز بعد پایتخت آذربایجان چند درجه سانتیگراد است؟,1,1
130,میانگین دمای هوای تهران امروز چقدر است؟,1,1
131,میانگین دمای هوای مشهد فردا چقدر است؟,1,1
132,حداقل دمای هوای فردای شیراز چقدر است؟,1,1
133,حداکثر دمای هوای پس فردای قزوین چقدر است؟,1,1
134,کمترین دمای هوای دو روز بعد زنجان چقدر است؟,1,1
135,کمینه دمای هوای ۳ روز بعد تهران چقدر است؟,1,1
136,بیشترین دمای هوای سه روز بعد تبریز چقدر است؟,1,1
137,اختلاف کمترین و بیشترین دمای هوای چهار روز بعد آبادان چقدر است؟,1,1
138,اختلاف میانگین و بیشترین دمای هوای تهران چند درجه است؟,1,1
139,اختلاف حداقل و میانگین دمای هوای دو روز بعد گرگان چند درجه سانتیگراد است؟,1,1
140,اختلاف میانگین درجه حرارت هوای امروز و فردای یزد چقدر است؟,1,1
141,گرم‌ترین دمای هوای دو روز بعد همدان چقدر است؟,1,1
142,میانگین اندازه گرمی یا سردی هوای دو روز بعد کاشان چند درجه است؟,1,1
143,امروز میانگین دمای هوای مشهد سردتر است یا تهران؟,1,1
144,امروز حداقل دمای هوای مشهد سردتر است یا تهران؟,1,1
145,امروز حداکثر دمای هوای مشهد گرم‌تر است یا تهران؟,1,1
146,دو روز بعد حداکثر دمای هوای مشهد گرم‌تر است یا تهران؟,1,1
147,سه روز بعد میانگین دمای هوای مشهد گرم‌تر است یا تهران؟,1,1
148,چهار روز بعد حداقل دمای هوای مشهد گرم‌تر است یا تهران؟,1,1
149,حداکثر دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,1,1
150,میانگین دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,1,1
151,حداقل دمای هوای امروز مشهد گرم‌تر است یا فردای تهران؟,1,1
152,حداکثر دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,1,1
153,میانگین دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,1,1
154,حداقل دمای هوای امروز مشهد گرم‌تر است یا پس فردای تهران؟,1,1
155,حداکثر دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,1,1
156,میانگین دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,1,1
157,حداقل دمای هوای فردای مشهد گرم‌تر است یا پس فردای تهران؟,1,1
158,بیشینه دمای هوای فردای مشهد گرم‌تر است یا پس فردای تبریز؟,1,1
159,کمینه دمای هوای فردای مشهد گرم‌تر است یا پس فردای تبریز؟,1,1
160,دمای هوا در زمان اذان صبح امروز تهران چقدر است؟,1,1
161,دمای هوا در زمان اذان ظهر امروز تهران چقدر است؟,1,1
162,دمای هوا در زمان اذان مغرب امروز تهران چقدر است؟,1,1
163,دمای هوا در زمان اذان مغرب امروز قم چقدر است؟,1,1
164,دمای هوا در زمان اذان ظهر امروز قم چقدر است؟,1,1
165,دمای هوا در زمان اذان صبح امروز قم چقدر است؟,1,1
166,دمای هوای در زمان نیمه شب شرعی امروز قم چقدر است؟,1,1
167,دمای هوای در زمان نیمه شب شرعی امروز تهران چقدر است؟,1,1
168,دمای هوای در زمان نیمه شب شرعی فردای تهران چقدر است؟,1,1
169,دمای هوای در زمان نیمه شب شرعی فردای قم چقدر است؟,1,1
170,دمای هوای در زمان اذان ظهر فردای قم چقدر است؟,1,1
171,دمای هوای در زمان اذان صبح فردای قم چقدر است؟,1,1
172,دمای هوای در زمان اذان مغرب فردای قم چقدر است؟,1,1
173,دمای هوای در زمان اذان صبح فردای تهران چقدر است؟,1,1
174,دمای هوای در زمان اذان ظهر فردای تهران چقدر است؟,1,1
175,دمای هوای در زمان اذان مغرب فردای تهران چقدر است؟,1,1
176,دمای هوای در زمان نیمه شب شرعی ۳ روز بعد مشهد چقدر است؟,1,1
177,دمای هوای در زمان اذان صبح ۳ روز بعد مشهد چقدر است؟,1,1
178,دمای هوای در زمان اذان ظهر ۳ روز بعد مشهد چقدر است؟,1,1
179,دمای هوای در زمان اذان مغرب ۳ روز بعد مشهد چقدر است؟,1,1
180,اذان صبح تهران سردتر است یا اذان ظهر آن؟,1,2
181,اذان صبح امروز تهران سردتر است یا فردا؟,1,2
182,اذان صبح امروز تهران سردتر است یا پس فردا؟,1,2
183,اذان صبح امروز تهران سردتر است یا اذان ظهر پس فردا؟,1,2
184,اذان صبح امروز تهران سردتر است یا اذان ظهر ۳ روز بعد؟,1,2
185,اذان صبح فردای تهران سردتر است یا اذان ظهر امروز آن؟,1,2
186,اذان صبح فردای تهران سردتر است یا نیمه شب شرعی ۳ روز بعد؟,1,2
187,اذان ظهر پس فردای تهران سردتر است یا نیمه شب شرعی ۳ روز بعد آن؟,1,2
188,اذان ظهر تهران دو روز بعد سردتر است یا نیمه شب شرعی ۳ روز بعد؟,1,2
189,اذان ظهر ۲ روز دیگر تهران سردتر است یا نیمه شب شرعی ۳ روز بعد؟,1,2
190,امروز ساعت ۱۴:۲۵ هوای تهران سردتر است یا فردا ساعت ۲:۴۵؟,1,3
191,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت ۱۲:۴۵؟,1,3
192,امروز ساعت شش عصر هوای تهران سردتر است یا فردا ساعت ۱۲:۴۵؟,1,3
193,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت هفت صبح؟,1,3
194,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا فردا ساعت سه و نیم بامداد؟,1,3
195,فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا پس فردا ساعت سه و نیم بامداد؟,1,3
196,فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,1,3
197,امروز ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,1,3
198,پس فردا ساعت دو و نیم بعد از ظهر هوای تهران سردتر است یا ساعت ۳ و نیم بامداد؟,1,3
199,سه روز بعد ساعت دو و ربع بعد از ظهر هوای تهران سردتر است یا ساعت سه و نیم بامداد؟,1,2
