Class1-Q,Class1-W,Class2-Q,Class2-W,Class3-Q,Class3-W,Class4-Q,Class4-W
هوای برلین فردا  بارونی است؟,هوا-برلین-بارونی,چه فرقی دارد اذان کی باشد؟,اذان- چه فرقی,ساعت برلین چقدر از ساعت تهران عقب‌تر است؟,ساعت عقب‌تر,عید نوروز چندشنبه است؟,عید-چندشنبه
"هوا امروز سرد بود؟
","باران_دما_آفتاب_ ابر
",آفتاب کی طلوع میکنه؟,مغرب_طلوع_غروب_شبکه سه,اونجا الان ساعت چنده؟,ساعت_صبح_گرینویچ,امروز چندم ماه است؟,تولد_نوروز_ماه_مناسبت
هوا سرد شده و ملت تازگیا دارن قربون صدقه برف میرن,هوا سرد برف ,از چه سایتی میشه اوقات شرعیو پیدا کرد؟,سایت پیدا,در مورد رمان برندشون سندرسون به نام چرخ زمان شنیدی؟,رمان زمان نام,هیچ استفاده ای از تقویم فیزیکی نمیکنم شما چطور,استفاده فیزیکی 
"فردا هم هوا مثل امروز بارونیه؟ 
پارسال انقدر هوا سرد نبود، بود؟ 
مثل اینکه امسال هوای تهران قراره از همه ی سال های قبلی سردتر باشه. بارش برف سال هشتاد و پنج سنگینتر بود، یا بارشهای برف امسال قراره سنگینتر باشه؟ 
طولانیترین بارش بارانی که تا حالا بوده، چند روز بوده؟ 
بیشترین ارتفاعی که تا بحال برف آمده چقدر بوده است؟","فردا - امروز - بارونی - پارسال - هوا - سرد - امسال - تهران - سردتر - برف - سال - سنگینتر
امسال - طولانیترین - باران - تا حالا - روز - بیشترین - ارتفاع - برف",اذان صبح را کی خواندند؟ بعد از اذان ظهر در نمازخانه نمازگزاری کنم، یا در مسجد؟,اذان صبح - اذان ظهر - نمازخانه - نمازگزاری - مسجد,الان ساعت چنده؟ الان دیروقت نیست تو استکهلم؟ تو برلین چه ساعتی معادل زمان تهران ساعت کاریشون شروع میشه؟,الان - ساعت - الان - دیروقت - استکهلم - برلین - معادل - زمان - تهران - ساعت کاری - شروع,فردا عید قربان هست؟ فردا مناسبت خاصی داریم آیا؟ چند روز تا عید فطر مونده؟ سال نوی میلادی چه روزی تو دی ماه میشه؟ عید نوروز 1 ام فروردین است؟ امسال ماه رمضان از چه تاریخی شروع خواهد شد؟ پارسال چند روز در تقویم تعطیلی داشتیم؟,فردا - عید قربان - فردا - مناسبت - عید فطر - سال نو - میلادی - دی ماه - عید - نوروز - فروردین - امسال - ماه - رمضان - چه تاریخی- شروع - پارسال - تقویم - تعطیلی 
"- برای هوای فردا چه لباسی مناسب است؟
- هوا فردا چطور است؟
- هوای آمستردام معمولا چگونه ست؟
- آیا هوا برای ماهیگیری مناسب است؟",هوا - لباس - مناسب - ماهیگیری ,,,,,,
آیا در پنج روز آتی ، در تهران برف خواهد آمد ؟,برف ، آتی ، تهران,تفاوت زمانی بین غروب آفتاب و اذان مغرب چقدر است ؟,تفاوت ، اذان مغرب ، غروب آفتاب,چند ساعت از گل آخر منچستر سیتی در لیگ قهرمانان قبل گذشته است ؟,گل آخر ، منچستر سیتی ، لیگ قهرمانان,ولنتاین امسال ، چندم کدام ماه است ؟,ولنتاین ، چندم ، ماه
"چتر لازم دارم؟
بارون میاد؟
رگبار می‌زنه؟
هوا خیلی خوبه.
هوا دو‌نفره‌س.",هوا - فردا - بارون - رگبار - خوب - عشق,"اذانه؟
تا کی میشه نماز خوند؟
نمازم قضا شد.
کی ساعت بذارم برای نماز؟
ساعت گذاشتی برای سحر؟
افطار کیه؟
ماه رمضون امسالم که تو تابستونه.",اذان - نماز - ساعت - سحر - افطار- رمضان,"ساعت چنده؟
می‌تونم به عموم تو کالیفرنیا زنگ بزنم؟
ساعت رند نشد درس بخونم؟
ساعت چند مترو باشم؟",ساعت - کالیفرنیا - رند - مترو - قرار,"عاشورا تاسوعا کیه؟
امروز چند شنبه‌ست؟
چقدر مونده تا عید؟
اسفند شده خیابون‌ها ترافیکه.
صفر ماه سنگینیه.
عید بریم شمال؟
",امروز - شنبه - عید - شمال - اسفند - هیابون - ترافیک - صفر - ماه
"آیا سه شنبه باران می‌بارد؟
آلودگی هوای امروز چقدر است؟
این هوا برای سیگار زیادی عالی نیست؟
آیا هوای بارانی را دوست داری؟
توی این هوا بهتره چه لباسی بپوشیم؟",سه شنبه - باران - آلودگی - امروز - سیگار - عالی - بارانی - دوست داشتن - لباس - هوا,"آیا نمازم قضا شده است؟
تا چه ساعتی فرصت دارم نماز بخوانم؟
چند ساعت دیگر می‌توانم افطار کنم؟
اذان صبح ساعت چند است؟",نماز - قضا - ساعت - فرصت - افطار - صبح - اذان - ,"الان کانادا ساعت چند است؟
امروز چه ساعتی می‌توانم تو را ببینم؟
دیشب چند ساعت خوابیدی؟
چند ساعت برای انجام این پروژه نیاز دارم؟ 
امروز زمان برای تو هم زود گذشت؟",الان - کانادا - ساعت - ببینم - تو - می‌توانم - امروز - دیشب - چند - خواب -  پروژه - نیاز - زمان - گذشت,"امروز چندم است؟
چند هفته دیگر تا پایان ترم باقی مانده است؟
تولدت کی عه؟
امروز چند شنبه است؟
امروز به چه مناسبتی تعطیل است؟",امروز - چندم - چند - هفته - پایان - ترم - باقی ماندن - تولد - کِی - شنبه - مناسبت - تعطیل
"هوا چطوره؟
هوای گرم بهتره یا سرد؟
تو هوای گرم لباس روشن میپوشن؟
هوای ایران گرم و خشکه یا سرد و مرطوب؟
هوای بارونی طرفدار بیشتری داره یا هوای آفتابی؟",هوا - سرد-گرم-لباس-روشن-ایران-مرطوب-بارونی - آفتابی,"اذان صبح کیه؟
فاصله اذان صبح تا طلوع خورشید چقدره؟",اذان صبح - طلوع - خورشید - فاصله,"سفر در زمان ممکنه؟
زمان بعد چندمه؟
به ساعت درون اعتقاد داری؟",سفر - زمان - بعد - درون ,"امروز چندمه؟
چن تا تعطیلی داریم؟",امروز - تعطیلی
آب و هوا ی کرمان بطور کلی چگونه است ؟,آب و هوا -کلی-کرمان,طلوع خورشید فردا کرمان چه زمانی است ؟,طلوع - خورشید - کرمان - فردا,فوتبال ساعت چند است ؟,فوتبال - ساعت ,فردا تعطیل است .,فردا - تعطیل
"میانگین بارندگی سالانه در تهران چقدر است ؟ 
فردا هوا برفی خواهد بود . 
از هوای گرم بیزارم ! 
هوا اگه بارونی بود میای بریم بیرون؟ 
شنیدم هفته بعد هوا قراره گرم بشه ، درسته ؟",هوا ، باران ، گرم ,"فردا اذان صبح چه ساعتیه ؟ 
نیمه شب شرعی چه ساعتیه ؟ 
من دیروز برای نماز صبح خواب موندم !
اذان ظهر اصفهان و تهران چقدر اخلاف داره؟
",اذان ، صبح ,"ساعت ایران و اتریش چقدر با هم تفاوت داره ؟ 
الان ساعت چنده؟ 
چه ساعتی کلاس داری و باید از خواب بیدار بشی؟
فوتبال بارسلونا ساعت چنده امشب؟
اختلاف زمانی تهران و اصفهان چند دقیقس؟",ساعت ، زمان ,"امروز چندم برجه؟ 
چند ماه دیگه عید میشه؟
طبق تقویم داره نزدیک یکسال میشه که کرونا اومده !
این هفته هر روز ددلاین تمرین دارم !!
نزدیکترین تعطیلی رسمی برای رفتن به مسافرت چه زمانیه؟",هفته ، روز ، سال 
"چه قدر هوا سرد شده
هوا هوای دو نفره است","بر ف
بارون 
هواشناسی 
سرد","نماز قضا نشه
اذان صبح کی هست؟
","نماز 
اذان 
","ساعت چند است؟
الان ونکوور ساعت چند است؟","ساعت 
ونکوور","16 آذر روز دانشجوست
عید نوروز بهترین مناسبت در ایران است
شب یلدا 30 آذر است","روز
مناسبت"
"فردا هوا سرد است؟
هوای سرد برای کاشت چه نوع درختی متناسب است؟
اب و هوای این منطقه چگونه است؟
هوای تهران در هفته پیش رو چگونه است؟",,"اذان صبح در مشهد چه زمانی است؟
روزه در چه صورتی باطل میشود؟
اصول وضوع چگونه است؟
نماز شکسته در چه صورت است؟",,"
اختلاف ساعت در شهر های امریکا چقدر است؟
ساعت الان در چین چند است ؟
اختلاف ایران و کانادا چند ساعت است؟",,"روز مادر کی است؟
فردا به چه مناسبتی تعطیل است؟
تقویم سال جدید کی میاید؟ ",
"هوا امروز سرد بود؟
","باران_دما_آفتاب_ ابر
",آفتاب کی طلوع میکنه؟,مغرب_طلوع_غروب_شبکه سه,اونجا الان ساعت چنده؟,ساعت_صبح_گرینویچ,امروز چندم ماه است؟,تولد_نوروز_ماه_مناسبت
"چرا هوای تهران همیشه آلوده است؟
آیا هوای تهران پاکیزه خواهد بود روزی؟
هوای قم چه کم از هوای تهران دارد؟
آیا آب تهران بهتر از هوای آن نیست؟
آیا هوای تهران را میتوان تحمل کرد؟ ","هوا - تهران - آلوده
هوا - تهران - پاکیزه - روز
هوا - قم - کم - تهران
آب - تهران - هوا
هوا - تهران - تحمل","چرا اوقات شرعی مناطق مختلف تا این حد متفاوت است؟
زمان های دقیق اوقات شرعی به چه صورت تعیین می‌شوند؟
چرا در ماه رمضان سرعت حرکت اذان صبح خیلی زیاد است؟
اذان صبح تهران دیروز چه زمانی بود؟
اذان ظهر شیراز فردا چه زمانی است؟","اوقات شرعی - مناطق - متفاوت
زمان دقیق - اوقات شرعی - تعیین
ماه رمضان - سرعت - اذان صبح
اذان صبح - تهران - دیروز
اذان ظهر - شیراز - فردا","چه مدت زمان تا ساعت ۱۷ باقی مانده است؟
ساعت یزد الان چند است؟
ساعت ۶ قدیم است یا جدید؟
ساعت تهران الان چند است؟
ساعت تبریز الان چند است؟","مدت زمان - ساعت - باقی
ساعت - الان - یزد
ساعت - قدیم - جدید
ساعت - الان - تهران
ساعت - الان - تبریز","فردا چه مناسبتی است؟
چرا مناسبت های تعطیلی مصادف با جمعه می شوند؟
آیا مناسبت دیروز مهم بود؟
چرا در مناسبت های شهادت، همه جا تعطیل است؟
امروز چه مناسبتی است؟","فردا - مناسبت 
مناسبت - تعطیلی - جمعه
مناسبت - دیروز - مهم
مناسبت - شهادت ‌- تعطیل
امروز - مناسبت"
"بنظرت بهترین آب و هوا برای کدوم فصله؟
آب و هوای مورد علاقت چیه؟
تو این آب و هوا لباس گرم نمی‌پوشی؟
آب و هوای امسال با پارسال خیلی فرق نداره؟
آب و هوای کدوم کشورو می‌پسندی؟",هوا- فصل-لباس-امسال-کشور,"اذان مغرب ساعت چنده؟
اذان ظهر چقد هوا گرمه؟
ترجیح میدی اذان مغرب دیرتر باشه یا زودتر؟
قبل از اذان مغرب می‌رسی خونه؟
اذان شهرتون چند دیقه با اینجا فاصله داره؟",اذان مغرب,,,,
"آیا امروز باران آمد
دمای هوا شب ها به چند درجه می رسد
میاگین سرعت باد چقدر است
کجا برف آمده است
آفتابیست هوا یا گرفتست هنوز","برف باران باد سرعت آفاب
",,,,,,
آسمان امروز رشت ابری است؟,آسمان _رشت_ ابری_امروز,تفاوت اوقات شرعی نیمه شب تهران و تبریز چقدر است؟,تفاوت_نیمه شب_تهران_تبریز,اکنون در لندن ساعت چند است؟,اکنون_لندن_ساعت,تاریخ تولد شما چندم است؟,تاریخ_تولد_شما
هوای ایران معتدل است. // آیا دیروز هوای نوشهر بارانی بود ؟ // هوای نوشهر بارانی است ؟ ,هوا - ایران - معتدل // دیروز - هوا -  نوشهر - بارانی //  هوا - نوشهر - بارانی,اذان صبح به وقت تهران چه ساعتی هستش ؟ // اذان مغرب اعلام شده ؟ // اذان صبح اینجا زودتر از تهران هستش ؟,اذان - صبح - تهران  // اذان - مغرب // اذان - صبح - زودتر - تهران,لندن الان چه ساعتی هستش ؟ // فکر میکنی الان لندن صبح شده است ؟ // مونیخ الان ظهر است.,لندن - ساعت // الان - لندن - صبح // مونیخ - الان - ظهر,کریسمس پارسال چه روزی بود؟ // فکر میکنی امسال روز کارگر برگزار میشود ؟ // شجریان چه روزی درگذشت؟,کریسمس - پارسال // امسال - روز کارگر // شجریان - روز
هوا امروز چطوره؟,هوا-امروز,اذان ظهر رو کی میگن؟,اذان ظهر,اونجا ساعت چنده؟,اونجا-ساعت,چند روز دیگه عیده؟,عید
آیا تو هوای آفتابی را بیشتر از بارانی دوست داری؟//برای اخر هفته هواشناسی چه پیش بینی ای کرده؟//آلودگی هوای تهران رو به بهبود است یا نه؟ ,آفتابی-بارانی//هواشناسی-پیش بینی//آلودگی هوا-تهران-بهبود,اذان صبح فردا در کرمان چه ساعتی است؟؟//شهر هم افق با تهران کجاست؟//نیمه شب شرعی پاییز و زمستان با هم متفاوت است؟,اذان صبح-فردا-کرمان//هم افق-تهران//نیمه شب شرعی-پاییز-زمستان,آیا شیکاگو الان مثل تهران روز است؟//,شیکاگو-تهران-روز,,
هواشناسی وضعیت استان‌های کشور رو چگونه اعلام کرد؟,هواشناسی - وضعیت,چرا اذان مغرب تهران با اصفهان فرق داره؟,اذان - مغرب,اختلاف ساعت تهران با تورنتو و ونکوور یه مقداره؟,اختلاف ساعت- مقدار,روز جهانی داروساز چه روزیست؟,جهانی- داروساز
چرا هوای تهران آلوده است؟//آیا هوای تهران آلوده است؟//فردا هوای اهواز چند درجه است؟//آیا هوای شوشتر گرم است؟//هوای قزوین در هفته ی آینده بارانی است؟,آلوده//تهران//اهواز-درجه//شوشتر-گرم//قزوین-بارانی,نیمه شب شرعی چگونه محاسبه می شود؟//نماز صبح در تهران چه ساعتی قضا می شود؟//اذان ظهر به افق شوشتر چه ساعتی است؟//در اهواز اذان مغرب زودتر است یا شوشتر؟//اذان صبح به افق قزوین در تاریخ ۱۷ آذر چه ساعتی است؟,نیمه شب شرعی-محاسبه//نماز صبح-تهران-قضا//اذان ظهر-شوشتر//اذان مغرب-شوشتر-اهواز//اذان صبح-قزوین-۱۷آذر,فاصله ی ساعت رسمی ایران با ساعت مبداء چقدر است؟//الان در مشهد ساعت چند است؟//آیا الان در ترکمنستان صبح است؟//دو ساعت دیگر چه زمانی از روز در کشور افغانستان است؟//آیا فاصله ی زمانی ساعت رسمی ایران و عراق نیم ساعت است؟,ساعت رسمی-ایران-ساعت مبدا//مشهد-ساعت//ترکمنستان-صبح//افغانستان//فاصله زمانی-ایران-عراق,آیا امروز روز جهانی معلولان است؟//چند روز تا عید نوروز مانده؟//امسال چارشنبه سوری چندم اسفند است؟//چند روز از عید فطر میگذرد؟//امسال روز دانشجو چند شنبه است؟,امروز-روز جهانی معلولان//عید نوروز//چارشنبه سوری-اسفند//عید فطر//روز دانشجو
به نظرت هوای برفی قشگه؟ // چرا امسال کمتر بارون اومد؟// هوای گرم رو بیشتر دوس داری یا هوای سرد؟ // هوای شمال چطوریه؟ // اگر بارون بیاد ترافیک میشه؟,هوا - برفی - قشنگ // امسال -کمتر - بارون // هوا - گرم - یا - سرد// بارون - ترافیک//,اذان  صبح فردا ساعت چنده؟ // چقدر تا اذان مغرب مونده؟ // نیمه شب شرعی فردا شب توکیو چه ساعتی است؟ // چرا اذان نمیگن؟ // از اذان ما تا اذان شما چقدر است؟,اذان صبح -  فردا // اذان مغرب - مونده // نیمه شب شرعی - فردا شب - توکیو // اذان // اذان ما - اذان شما ,ساعت الان در کابل چنده؟ //فاصله زمانی شما با زمان گرینویچ چقدر است؟ // ساعت در فرانسه چند است ؟ // چند بازه زمانی در آمریکا داریم؟,ساعت - الان - کابل// فاصله زمانی - شما - زمان گرینویچ// ساعت - فرانسه // بازه زمانی - آمریکا ,چند روز تا انتخابات مانده؟ // فردا چه روزی است؟ // عید فطر سال دیگر چه روزی است؟// چند تعطیلی مناسبتی در سال داریم؟,روز - انتخابات // فردا // عید فطر - سال دیگر // تعطیلی مناسبتی - سال
,,,,,,,
,,,,,,,
"آب و هوای دانشکاه آزاد تهران چگونه است؟
دمای شهر ایده‌آل شما برای زندگی چند درجه است؟
پیش‌بینی هواشناسی برای آب و هوای فردا چگونه است؟
آب و هوای آفتابی بهتر از آب و هوای ابری است؟
هوای نزدیک ظهر بهتر از دم غروب است؟","آب و هوا-دانشگاه - آزاد
دما-ایده‌آل-درجه
پیش‌بینی-هواشناسی-آب و هوا
آب و هوا-آفتابی-ابری-بهتر
هوا-ظهر-غروب","اذان مغرب به افق کاخ سفید ساعت چند است؟
نماز ظهر و عصر امروز ساعت چند قضا می‌شود؟
نیمه شب شرعی امشب ساعت چند است؟
اختلاف ساعت اذان مغرب و صبح چند ساعت است؟","اذان - مغرب - کاخ سفید
ظهر-عصر-قضا
نیمه شب-شرعی
اختلاف-مغرب-صبح","ساعت بیدگل الان چند است؟
اختلاف زمانی ویندوز و لینوکس با هربار عوض شدن چند ساعت است؟
در لس‌آنجلس در چه زمانی از روز هستیم؟
دوست دارید الان چه ساعتی از شبانه روز باشد؟","ساعت - بیدگل
اختلاف-زمانی-ویندوز-لینوکس-ساعت
لس‌آنجلس-زمان-روز
دوست داشتن-ساعتی-شبانه روز","مناسبت های امروز چه چیزی هستند؟
اختلاف تاریخ قمری و شمی تولد تو چقدر است؟
روز جهانی شیخ مفید چه روزی است؟
در تاریخ 9/9/99 چه تعداد کودک به دنیا امدند؟
13 رجب چه مناسبتی دارد؟","مناسبت-امروز
اختلاف-تاریخ-قمری-شمسی
روز-جهانی-شیخ مفید
9/9/99-کودک-تعداد
13-رجب-مناسبت"
هوای شهر شما چگونه است؟/هوا اطراف شما هم سرد است؟/ شنبه هفته آینده هوا چند درجه است؟,هوا،شهر/هوا،اطراف،سرد/شنبه،هفته،درجه,اذان ظهر چه ساعتی است؟/نماز صبح چه ساعتی قضا می‌شود؟/اذان مغرب به افق اهواز چند است؟,اذان،ظهر/نماز،صبح،قضا/اذان،مغرب،افق,,,,
"آب و هوا ساری در دو روز آینده چگونه است؟ 
//شاخص آلودگی هوا تهران الان چقدر است؟
//سرعت باد در البرز امروز چقد بود؟
//رطوبت هوا گیلان در روز گذشته چقد بوده است؟
//دمای هوا اهواز فردا چقدر پیش بینی میشود؟
//آیا هوا فردا ابری است؟","آب و هوا-دو روز آینده-ساری
//شاخص آلودگی هوا-تهران-الان
//سرعت باد-البرز-امروز
//رطوبت هوا-گیلان-روز گذشته
//دمای هوا-اهواز-فردا
//هوا-فردا-ابری","اذان صبح ساری فردا چه ساعتی است؟
//غروب آفتاب تهران امروز چه زمانی است؟
//طلوع خورشید فردا در مسکو در چه ساعتی است؟
//اذان مغرب فردا به افق لندن چه زمانی است؟
//اختلاف زمانی بین اذان صبح تبریز با اذان صبح مشهد چقدر است؟","اذان صبح-ساری-فردا
//غروب آفتاب-تهران-امروز
//طلوع خورشید-فردا-مسکو
//اذان مغرب-فردا-لندن
//اختلاف زمانی-اذان صبح تبریز-اذان صبح مشهد","ساعت رسمی مالزی در حال حاضر چند است؟
//اختلاف زمانی مشهد و فیلیپین چقدر است؟
//الان در فنلاند چه زمانی است؟
//اختلاف ساعت میان دو شهر هانبورگ آلمان و سالوادور برزیل چقدر است؟","ساعت رسمی-مالزی-حال حاضر
//اخلاف زمانی-مشهد-فیلیپین
//فنلاند-الان-زمان
//اختلاف ساعت-هانبورگ آلمان-سالوادور برزیل","۲ ژوئن ۲٠٠۱ در تاریخ شمسی چه روزی است؟
//۱۱ محرم ۱۴۲۱ به میلادی چه تاریخی است؟
//هفته بسیج در چه تاریخی است؟
//مبعث رسول در چه تاریخ قمری است؟
//روز جهانی پسر در چه ماه میلادی است؟","۲ ژوئن ۲٠٠۱-شمسی
//۱۱ محرم ۱۴۲۱-میلادی
//هفته بسیج-تاریخ
//مبعث رسول-تاریخ قمری
//روز جهانی پسر-ماه میلادی"
پارسال همین تاریخ آب و هوای پاریس چگونه بود؟,,اذان صبح رشت چه زمانی است؟,,اختلاف ساعت ایران و ترکیه چقدر است؟,,چند روز تا عید نوروز مانده است؟,
کی باران در تهران باران می بارد؟// آیا هم اکنون رشت هم بارانی است؟// فردا صبح برف خواهد بارید؟// چقدر در طول آذرماه در تبریز باران بارید؟,باران-تهران//اکنون-رشت-باران//فردا-برف//آذرماه-باران-تبریز,در کدام شهر زودتر اذان زده می شود؟//اذان صبح یک قرن آینده در مشهد چه زمانی خواهد بود؟// اذان صبح تا اذان مغرب چقدر فاصله دارد؟//اذان صبح در لس آنجلس چه زمانی است؟,شهر-اذان//اذان صبح- قرن آینده-مشهد//اذان صبح-اذان مغرب//اذان صبح-لس آنجلس,در مسکو الان ساعت چند است؟// اختلاف زمانی تهران با نیویورک چقدر است؟// نیمه شب توکیو مصادف چه زمانی در کرمانشاه است؟,ساعت-الان-مسکو//اختلاف زمان-تهران-نیویورک//نیمه شب-توکیو-کرمانشاه,روز جهانی زن در تقویم هجری قمری چه روزی است؟// تقویم هجری شمسی با هجری قمری چند روز اختلاف دارند؟// روز آزادی خرمشهر در تقویم میلادی چه روزی است؟// ۱۹ شهریور چه مناسبت هایی دارد؟// آغاز تاریخ میلادی چه واقعی بود؟,روز جهانی زن-تقویم هجری قمری//تقویم هجری شمسی-تقویم هجری قمری-روز//روز آزادی خرمشهر-تقویم میلادی-روز// ۱۹ شهریور-مناسبت//آغاز-تاریخ میلادی
,,,,,,,
بیرون هوا چطور بود؟ // فردا بارونیه؟ // ,بیرون - هوا // فردا - بارون //,اذونو گفتن؟ // چقد به اذون مونده؟ // ,اذون // اذون // ,یازده قدیم یا یازده جدید؟ // ساعتِ چند کلاس داری؟ //,قدیم - جدید // ساعت - کلاس // ,امروز چندمه؟ // ماهو دیدن؟ (برای ماه رمضون) //,امروز // ماه // 
"دیروز هوای مشهد چگونه بود؟
جمعه هفته آینده هوای مشهد چگونه است؟
دوروز قبل هوای مشهد چند درجه بود؟","دیروز_هوا_مشهد
جمعه_هفته_مشهد
هوا_مشهد_درجه","نیمه شب شرعی مشهد چه ساعتی است؟
اذان صبح در مشهد امروز چه ساعتی است؟
فاصله اذان ظهر مشهد با نیشابور چقدر است؟","نیمه شب شرعی_مشهد
اذان صبح_مشهد_امروز
فاصله_ظهر_مشهد_نیشابور","الان ساعت مشهد چند است؟
اختلاف ساعت ایران با ترکیه چقدر است؟
","الان_ساعت_مشهد
اختلاف ساعت_ایران_ترکیه","چندروز تا شب یلدا مانده است؟
دوسال پیش روز پدر درچه روزی بود؟
هفته آینده چه مناسبتی است؟","شب یلدا_روز_مانده
دوسال پیش_روز پدر
هفته آینده_مناسبت"
